(sheı)muoıkea	gyroscope
aqjıkı	polysterene
aqkuaq	letter Q
aqmana	letter Q
aqnha	intends to do
aqshe	donkey
aqshekebo	mule
aramoshı	orgasms
aranekoaı	spiderweb
arapaıma	arapaima
araı	physical object
arıeq	saves on
asaı	dirt
asaıdashı	mud
asaızeo	vegetable
asenı	arsenic
asheadaıdıu	modal logic
ashelaı	letter Æ
asholo	axolotl
asıagazala	Asian gazelle
asıahepete	Asian mongoose
asıapokesao	finless porpoise
asımıqzeo	pawpaw
atom	atom
atomchu	atomic nucleus
atı	on
aı'aı	smacks
aı'aıpu	letter Aı
aıcha	resembles
aıcy	integer
aıdao	essence
aıfuq	costume
aıfuqpatı	costume party
aıgeı	dresses up as
aıjı	aji
aıkopı	mimic
aımu	not* the case
aıpa	faerie
aıpoq	faerie
aıpu	ghost
aıpuraq	ghostly
aıpy	faerie
aıpı	faerie
aıse	impression
aısopo	isopod
aıueo	set
aızy	letter Y
bafaq	should
baga	pulls
bagacaha	breathes in
bagacha	ingressive
bagahıe	tugs
bagasıoq	pulley
bagatıaı	drawer
bage	baguette
baha'ı	Bahá'í
bakamoqda	Toaq illocution
bakanueq	beef
bakoy	makes requests
balaq	alarm
balu	should
banadıum	vanadium
banaku	guanaco
banana	banana
baobaokenobo	muntjac
baoguıcıepabakashunaonıubıu	sushi
baoguıtaqraka	rice tenrec
baoketo	beluga
baokuodepı	killer whale
baokıa	pink
baoluaq	white player
baopo	white player’s
baoruı	silver
baosıaıtoaı	white blood cell
baozu	Cantonese
baqjo	banjo
baqpıry	vampire
baqraq	general
baqraı	generic instance
baqse	typical result
baqshı	entity
baqteı	idealized shape
barabara	barbarous
barabeq	brussels sprout.
barara	*brrrrrrr*
barata	Indian
baratagua	India
baraı'adu	Nilgiri tahr
barua	rose
bashoq	version
baso	bass
basue	commands
basue'eı	high-handed
basuehe	haughty
basueruo	(being) superior
basuetoı	is dominant
basıle	basil
batata	sweet potato
batıny	Beltane
baıgıq	disassembles
baıhıu	canal
baıloha	metal iron
baıpaq	is a part
baırıaı	scaffolding
baıtoaı	brick
be'ı	grapevine
be'ıtı	grapevine
beagoa	corner
beajıoqkea	laptop
beamuao	cypress tree
beapue	arthropod
beapueq	knuckle-walks
beapueqhe	knuckle-walker
beaqchea	umbrella
beaqcıoq	lever
beaqfua	column
beaqgoeq	fence
beaqluoq	scales
beaqme	ladder
beaqnaby	breadstick
beaqnhuo	ladder
beaqnıu	bamboo
beaqtıaı	cage
beaı	hangs on
beaıgıo	pendant light
beaıpıo	pendant
bebehaq	baby food
beberesıu	viverrid
bebo	pregnant
becıoq	lever
bede	is
beheq	pregnant
beleq	phlegm
beleqguele	pituitary gland
benhoq	umbilical cord
beochua	variable
beodama	unstable
beodaı	variable
beodo	variable
beojeqda	genderfluid
beojey	genderfluid
beoq	base, foundation
beoqsaı	chemical
beoreaı	being stubborn
beoreaıhe	stubborn
beotoaı	infinitesimal
beotoaıdıu	calculus
beotua	changes
beotue	event
bepoaı	egg
beqbaı	pinches
beqbo	is convex at
beqbıa	swollen
beqdepı	humpback dolphin
beqgıu	ridge
beqheq	convex hull
beqjeoq	bumpy
beqra	date palm
beqrabeberesıu	nandiniid
beqse	tumor
beqsıu	swollen
beqtoq	overhang
beqzeq	benzene
bero	north
berohochu	north-east
berohore	north-west
beromerıka	North America
beromoa	north pole
beropoq	northerner
berosoq	north pole
beryzu	eberban
berılysaı	beryllium
berılıum	beryllium
betaruaıcheabıso	betacoronavirus
betoq	concrete
betoqpuo	concrete powder
beuq	pulls
beı'o	wine
beıgou	bagel
beıho	wine
beıjaq	so much the case
beıjaq	so much the case
beılaq	stressed
beımeılaı	letter W
beınoq	wine
beıso	virus
beıtua	emphasizes
boa	neck
boafuq	scarf
boagıa	choker
boam	low-pitched
boao	knows the answer
boaqfeo	oriented
boaqhuoı	tree squirrel
boaqhuoısıu	squirrel
boaqkahu	tree squirrel
boareı	choker
boareımy	choker
boaıhe	submissive
boaıkuaı	compliant
bobe	unborn child
boca	wasp
boceo	acquires
boche	owner
bocıa	lacks
boduq	Vodun
bodyka	vodka
boe(sıu)guaq	plain
boebeogıo	is komorebi
boefuq	robe
boehaq	pancake
boejıo	tent
boekıoq	circle
boeme	salad
boenao	puddle
boepata	chip
boeqdıaıjodıaı	Boeing 747
boeteımuhuaqtuamu	flattered
boetuo	sloth
bofaı	common to own
bogı	Bhogi
boko	shoves
boku	me
bokuaı	feels greed
boleı	rare to own
bologıtom	phlogiston
bolıa	pen
bomu	possession of
bonuamy	loot
bopıosaı	boron
boqdua	indeterminate
boqgoaıcha	affricate
boqko	finds
boqlaq	consonant
boqsa	preventable loss
boqsoa	prevents
boqsulaq	plosive
boqtı	obstructs
boqtıe	obstructs
bore	flattens
boromıq	bromine
boroq	boron
bosebue	wasp nest
boshao	wants to possess
boshaınue	renounces
boshaıtao	discards
bosho	gains
bosho	gets
bosue	requests
bosıa	unclaimed
bosıabebue	orphanage
bota	holds off
boteq	pays
boteq	pays money
boteqdoa	sells, for money
bouba	lumpy
buachao	van
buachıjıo	abbey
buafa	moves house
buafa	moves house
buajeq	housemate
buajıome	neighborhood
buaqcha	unsuccessful
buaqchıo	attempts
buaqmeo	frustrated
buaıdekı	ruler
buaıduoı	stretches
buaıfa	journeys
buaıhuao	loose
buaıjıo	tower
buaıjıojıeq	rectangle
buaıkua	hall
buaıkıoq	3D oval shape
buaıkıoqteı	oval shape
buaımuı	wordy
buaımıeqchuo	ruler
buaıne	length
buaınıoq	tusk
buaırueq	taut
buaısıoq	ellipse
buaıtoaı	unit of length
bubeı	indeed not so
bubu	not not the case
buby	feels good
buchıcheykuq	says
buda	buddha
budachuaq	Buddhism
budachı	Buddhist
budajıuchaq	Buddha Jayanti
budakoko	Buddhist
buduoceaq	cheetah
buduı	not enough
budıe	warns
buedueq	lawn
bueguaq	territory
buemoe	feels at home
buenoı	homework
buesoaq	lawn
buetı	at home
buhuı	nice
bujao	far from false
bujuı	barely the case
bujıqjeosuq	gatekeeps
buka	dares to do
bukache	adventurer
bula	bubble
bulahıu	stream
bulame	foam
bulua	fiction
bulureıfeoq	Blu-ray disk
bumuojuı	hardly
buojuq	accepts property
buoqgaq	hangs out with
buoqjı	case
buoqlaı	glyph
buoqlua	comedy
buoqse	folly
buoıluaı	darkly humorous
buoımeoca	tragic
buoınoaq	doomscrolls
buqbeq	muzzle
buqbıu	proboscis
buqchulaq	schwa vowel
buqhıao	bites
buqjeoq	oral cavity
buqjıaı	bites
buqjıaı	kisses
buqkuoq	tooth
buqkıaqkaro	serow
buqkıaqnua	shaves
buqkıaqpoke	bearded seal
buqluaofuo	is kissing
buqlıa	cheek
buqlıasho	debuccalizes
buqnao	saliva
buqne	mouthful
buqpıo	tooth
buqshaıca	gobstopper
buqsoı	pigs out on
buqtuaq	beak
buqtıabıu	pharynx
buqtıetı	velar
buraqsaı	is
burasıhebe	rubber tree
buruaq	denies
buruo	moss
buruonıu	bryophyte
buruotıe	mossy
burı	brie
burıaq	utopia
burıaqkero	grapefruit tree
burıu	returns
bushu	holy
bushudoı	worships
bushumıochaq	Holy Saturday
butıduo	moves away
buzolokıa	ghost pepper
buı	outside
buıcaha	breathes out
buıce	exit
buıduotaq	expands
buıduotaqtua	expands
buıgaja	extraterrestrial
buıjıaı	bacteria
buıkoe	excludes
buıku	uterus
buıkuboaq	placenta
buıkuboaq	placenta
buıkubıu	fallopian tube
buısetıeq	exhaust
buısha	gets out
buıshuaq	emits
buıtoa	loan word
buıtua	expels
byleq	phlegm
byleqguele	pituitary gland
bóekıoqmuteı	circular
bıaca	illness
bıacuaq	illness
bıafoa	feels sick
bıahıeq	throws up
bıakaı	virus
bıakuaı	has a sick
bıalaı	symptom
bıaloq	has fever
bıalıao	mo(u)ld
bıamuasaı	vaccine
bıaobıa	drunk
bıaoca	confuses
bıaochı	holds confused
bıaokoaı	maze
bıaokoı	stumbles
bıaonao	alcohol
bıaonaosho	ferments
bıaonaoshote	fermented
bıaopıaq	surprised
bıaotoa	riddle
bıapoe	quarantined
bıaqbu	not enough
bıaqpuoq	satisfies
bıarıo	miasma
bıasaı	toxic
bıasaıbıa	poisoned
bıatuataqtua	makes
bıdeoluaq	plays video game
bıdeoluaqmu	video game
bıecoetoa	suffix
bıejearıaq	bar
bıekao	will
bıekıe	thanks
bıeseudıu	aftermath
bıeshata	disposable
bıfı	wifi
bıgosy	bigos
bıkıce	wiki entry
bıkıkaıce	wiki article
bıkıkaıse	wiki article
bıkıkue	wiki
bıkıkueboe	wiki article
bılaq	beep
bılaı	colon
bılıada	billiards
bıolıno	violin
bıoq	departs
bıosapoq	Viossa speaker
bıosazu	Viossa
bıoı	leaks
bıoıchuao	leak
bıqbıq	million
bıraı	topic
bıru	virus
bırushı	virion
bırutoaı	virion
bıso	virus
bıtı	grapevine
bıtızeo	grape
bıtızeome	bunch of grapes
bıucheoq	tube
bıuchue	pipeline
bıuluao	orifice
bıume	pipeline
bıunıaı	worm
bıutoaı	ring
bıutoaıhaq	bagel
bıutuaı	salp
bıutıaı	barrel
bọtua	brought about
caberubıso	sarbecovirus
cadaı	potential energy
cadıu	physics
cagıle	conducive
caha	breathes
cahahua	lung
cajoq	directly causes
cake	treat
cale	tends to cause
canhu	chestnut
canhy	chestnut
capaq	counts
capo	mamey sapote
caqbo	owns
caqche	administrator
caqdao	program
caqhe	dominant
caqhupame	keyboard
caqhupapaq	button control
caqjuao	setting
caqme	staff
caqruaq	decrees
caqsoı	rebels against
caqsoıche	rebellious
caqtoaı	instruction
cara	shoots
cara	(agent) shoots
caramy	firearm
caruaı	tzar
caruoq	directly causes
carı	tsar
casaı	energetic
casaı'aı	nutritious
case	process
cası	almost the case
casıao	source
cateleq	Scottish
cateleqgua	Scotland
caıchea	hard hat
caıchoamu	strong
caıduadoa	assures that
caıfuo	impacts
caıfuoduy	gores
caıguaqfurı	earthquake
caıguaı	exercises
caıhıeq	hurls
caıhıo	hails
caıjıo	castle
caıkoy	flexes
caıkoı	strides
caınıao	snow storm
caıreo	brightly colored
caıseaı	liquor
caıseoqtue	storm
caıshıy	becomes foggy
caıtao	uses strength in
caızaq	comes into focus
ceabo	marsupial
ceahako	koala
ceahaq	dumpling
ceahua	pouch
ceakea	pocket device
ceanıaı	marsupial
ceaqpueqhe	unguligrade
ceaqpıo	onyx
ceaqtechuo	nail clippers
ceaı	suffers
ceke	iron
celadoa	cellar door
cem	normal
ceme	graph
cemedıu	graph theory
cemeq	cement
ceocıa	unbegun
ceokıao	entrance
ceoq	electrical
ceoqce	outlet
ceoqchua	nick (nickname)
ceoqchuoı	electric cord
ceoqchuoı	wire
ceoqgıu	wire
ceoqkaıdeoq	e-mails
ceoqkue	e-book
ceoqloha	electrum
ceoqnhoq	electric cord
ceoqpeq	e-mail
ceoqshea	out of battery
ceoqshuo	battery
ceotuao	resumes
ceqbudachuaq	Zen Buddhism
ceqbudısuq	Zen Buddhism
cesa	sizzles
cesanao	sparkling water
cesasha	boils
ceu	breathes
chahatapoq	Choctaw person
chakachaq	cicada
chakachaqchaq	summer day
chakopakıra	Chacoan peccary
chamu	is a way
chaobıa	has motion
chaocaq	drives vehicle
chaoche	chauffeurs
chaochoaq	passenger
chaodoa	ships
chaofa	drives
chaoloaı	some traffic
chaonıe	is aboard
chaoshuo	parking lot
chaqbıe	afternoon
chaqdıaq	occurs daily
chaqgu	two-day period
chaqkue	day calendar
chaqmoa	time of day
chaqnaı	happens today
chaqraomu	time of day
chaqtıa	afternoon
chaqzeo	lime
chaso	tedious
chateıdao	are instructions
chateıkao	are instructions
chatoa	adverb
chatoame	adverbial phrase
chaıboe	tea leaf
chaıbıo	teacup
chaıheqmy	teapot
chaıkafe	coffee with tea
chaınıu	tea plant
chaıtupa	teapot
chaıtıaq	tea-brown
chaıtıq	heart
chealaı	diacritic
cheaqchıa	trusts that
cheaqgı	trustworty
cheaqsue	entrusts
cheaqzua	betrays
checu	and
checy	unstably
chedu	tricks
chemegeqjıo	community center
cheocuoı	and
cheodoa	exchanges
cheohıao	and
cheomudaı	relation
cheoqdepı	Fraser's dolphin
cheosoa	and
cheoteq	barters
cheu	deceitfully
chey	tricks
cheychuo	trap
cheycua	falls for trick
cheynhoy	hoax
cheyteoq	trick question
cheıbea	knuckle
cheıbıo	cup
cheıbıu	ring
cheıpueq	walks
cheıpueqhe	digitigrade
cheıse	finger print
cheısheaq	stands on his
cheısheaqhe	digitigrade
cheıtoq	nail
choaboq	consonant
choachuo	microphone
choadedıu	phonaesthetics
choafua	podium
choahua	udder
choakao	voice recording
choakuq	says vocally
choakuqse	voice message
choapoa	consonant
choaqchao	taxi
choaqdoa	hospitable
choaqfa	visits
choaqgı	welcome
choaqhuı	unwelcome
choaqhıo	welcomes
choaqhıo	welcomes
choaqjuq	has guest(s)
choaqsheı	is welcome
choaqsue	invites
choaqtao	pays a visit
choarıa	vowel
choase	utterance
choasıa	says nothing
choateı	pronunciation
choatoaı	phone
choatoaıdıu	phonetics
choazu	spoken language
choaıcıa	free
choaıjaq	expensive
choaıne	price
choaınuı	cheap
choaısao	expensive
choaısoq	extravagant
choaısıa	free
choaıtuao	cheap
chochı	chip
chodıe	recommends
chofaı	has common
chogıq	dislikes
choha	base
choha'aı	basic
choko	chocolate
chokokafe	caffe mocha
chokola	chocolate
chokopıehaq	cocoa
chokuaq	"likes"
choleı	has niche
cholıbo	cushioned
cholıchuo	cushion
cholımy	cushion
cholırıaı	cushions
chom	insect
chome	insect
chomehako	sloth bear
chomeheq	infested
chomesuhulıq	aardwolf
chomıa	popular
choq	uses
choqcha	is done using
choqchua	username
choqdo	Cheondoist
choqdıe	offers tool
choqgeo	worn
choqkıu	available
choqmuı	is the intent
choqmy	gadget
choqmıa	versatile
choqnıu	herb
choqshea	goes unused
choqteı	frontend
choqtuaı	doll
chosheı	accepting
chotaq	likes themselves
chouteı	usage
choıbeqlaı	letter Þ
choıceaq	claw
choıceaqjo	paw
choıdea	(agentive) stabs
choıgoaı	scratches
choıgıu	sharp edge
choıhıao	stings
choıjıusaı	is
choınıoq	canine teeth
choıpeo	pierces
choıpoaızeo	cranberry berry
choıpıo	diamond
choısaosa	hot sauce
choısaı	acid
choıshoaısıu	bird of prey
choısoe	acid
chuabo	is called
chuaboe	name tag
chuachoq	assigns name
chuachoq	uses name
chuachoqhe	always uses name
chuacıa	nameless
chuadua	knows by name
chuajoe	has title
chuakaı	signs
chualuı	expired name
chuaohıeq	throws
chuaotoq	window ledge
chuaqbeo	revolutionizes
chuaqmıu	classifies
chuasıa	nameless
chuasıagıqtua	doxxes
chuataq	calls themselves
chuaıcake	sorbet
chuaıduao	frozen dessert
chuaıdıa	thaws
chuaıhıao	ice-burns
chuaıketo	bowhead whale
chuaımy	(a) solid
chuaınaopoke	harp seal
chuaınoaı	custard
chuchua	middle name
chucuao	limb
chuebaı	chains together
chuechao	train
chuechue	choo-choo train
chuefa	follows
chuekıq	movie episode
chuelua	episodic story
chuepatı	procession
chuetao	does things
chuetıeq	railway
chufaqkuq	interrupts
chuge	sexual
chugua	China
chuhaq	lunch
chujıurıoq	intersex
chukuq	mediates between
chumoalaı	interpunct
chunı	lewd
chunıcholeı	has a fetish
chunıde	sexy
chunıhuı	perverted
chunımoe	horny
chuocha	is done using
chuodoedoa	turns
chuomıa	versatile
chuotıaı	toolbox
chuoı	thread
chuoıcoe	fastened
chuoıfurı	swings
chuoınhuo	filter, sieve
chuoınıu	vine
chuoısaı	fibre
chupaq	middle
chupoe	kinky
chuqbeaq	chopsticks
chuqcheı	chopstick
chuqchuo	cutlery
chuqchuosıqkea	dishwasher
chuqdoa	gives food
chuqfurı	has bulimia
chuqguaokenobo	marsh deer
chuqgı	edible
chuqhuame	digestive system
chuqjearıaq	restaurant
chuqjeoq	spoon
chuqjuao	diet
chuqkua	dining room
chuqnıu	vegetable
chuqroe	healthy to eat
chuqrıeq	fasts
chuqsao	fat
chuqsheq	table knife
churıohua	diaphragm
churıoq	is a hybrid
churıqkea	Turing machine
churıqkeajeq	Turing-complete
chutı	in the middle
chuzu	Chinese language
chuıchuq	eats breakfast
chuıduse	first impression
chuıguı	breakfast cereal
chuılıo	north
chuılıotı	to the north
chuım	brush
chyreıq	TR-affrication
chı(jıo)joaq	priest
chıapoaı	chia seeds
chıaqbıa	sentient
chıaqduı	hypervigilant
chıaqdıeq	notifies
chıaqgaı	intuits
chıaqhe	personality
chıaqhua	mind
chıaqlıaq	plural system
chıaqme	plural system
chıaqrue	not very aware
chıaqsea	meditates
chıaqsho	notices
chıaqtı	conscious
chıaıchua	pseudonym
chıaıgaı	hallucinates
chıaıgaıno	synaesthetic
chıaıjıao	false god
chıaımıutua	misinforms
chıaınoaq	misreads
chıaıretao	recovers
chıaıruaq	states falsity
chıaıtaosı	careful
chıaıtaq	paradox
chıbu	delusion
chıchedu	fools
chıchey	fools
chıcheykuq	lies in saying
chıchı	chirp-chirp bird
chıchıaı	falsely believes
chıcıa	skeptical
chıduı	naive
chıdıe	suggests
chıecha	learns
chıeche	learner
chıechefuaı	student council
chıechekata	student ID card
chıecheme	school
chıecoaq	tame
chıedoaq	campus
chıedoasue	enrolls in
chıeduqse	class
chıefuaı	learning
chıefıuq	school
chıeguaı	ıs a scholar
chıeguo	lesson
chıekata	flashcard
chıekua	classroom
chıekue	textbook
chıeme	class
chıemegaq	classmate
chıenoı	homework
chıenıq	beginner
chıepeloq	grade
chıeq	intersects
chıeqdao	hashtag
chıeqdoa	shares
chıeqduy	moves across
chıeqgao	is over
chıeqgaıno	has synesthesia
chıeqgaıno	synesthetic
chıeqteı	cross
chıeqtıeq	crossroad
chıetao	studies
chıetoaı	lesson
chıetuache	teacher
chıfa	chip
chıfuı	docile
chıfıuq	Church
chıgı	tenable belief
chıjuq	picks up
chıkenueq	chicken wing
chıkola	chocolate
chılua	myth
chıluajıq	mythical
chınoa	unbelievable
chıobo	repetitive
chıokaodoakıubulureıfeoq	BD-RE
chıokaodoakıudıbıdı	DVD-RW
chıokaodoakıusıdı	CD-RW
chıqchuq	insectivorous
chıqshıqhua	antennae
chırala	hog deer
chırıeq	critical
chıse	belief
chıshuaı	naive
chısıa	skeptic
chısıa	skeptical
chısıahe	skeptic
chıtao	remembers to do
chıtaobu	forgets to do
chıtoı	manipulates
chıtu	naive
chıtuafuı	naive
chıtuafuı	gullible
chıu'aba	Chihuahua
coachuao	underpass
coaq'alıu	garlic
coaqbarıqcı	rice
coaqchıeluı	tame
coaqkune	domestic dog
coaqluko	dog
coaqmusela	domestic ferret
coebuı	offline
coeguboe	blister pack
coegıa	adhesive tape
coegıu	seam
coejeo	inalienably
coeke	button
coele	sticky
coeleduao	gum
coeme	structure
coemuo	connected
coepeq	sticky note
coepotısa	slime mold
coesaı	glue
coese	is
coetano	clay
coetoa	affix
coetıe	seals
coezy	glue
cokı	institution
coq	representation
coqjıe	is deemed to be
cotoa	quantifier
coubuaq	fails person
coushatatoaq	Coushatta
coutao	addresses
coutaı	fulfils
cuaboq	mutes
cuabıa	has trauma
cuage	triggers
cuakaı	writes response
cuakuqse	response
cuamoe	relates to
cuaodıu	(a) metaphysics
cuaojıqzıu	hyperreal number
cuaonaq	transgender man
cuaq	is the property
cuaqbo	contentive
cuaqchue	serial predicate
cuaqcıa	particle
cuaqdıu	theory
cuaqfıeq	derives compound
cuaqke	is a specific
cuaqko	fills in the
cuaqkotoa	noun
cuaqkueqse	compound concept
cuaqkueqtoaı	primitive
cuaqluaq	plays game
cuaqmaı	fan
cuaqmuıbo	verb
cuaqpıe	raises a toast
cuaqraı	abstract
cuaqsao	huge
cuaqtao	celebrates
cuaqtue	event
cuase	response
cuaıcey	sniffles
cuaıchoatoaı	liquid
cuaıguaq	swamp
cuaıheq	is wet
cuaılaq	liquid consonant
cuaılaq	liquid
cuaıshıqhua	rhinarium
cuaıtue	flood
cucujı	azalea
cueche	politician
cuecheme	political party
cuedıu	politics
cuejoaq	ruler
cuekoeguo	election
cuekoy	talks
cueluaq	doms
cueme	state
cueq	public
cueqsoaq	park
cuesoı	defiant
cuesoı	a rebel
cuesıachuaq	anarchism
cuesıame	anarchy
cuetaq	sovereign
cueteı	polity
cuga	hemlock tree
cuhybıa	has asthma
cukı	nods
cula	is an image
cunamı	tsunami
cuokeo	real
cuoı	and
cuoımy	binary relation
cuoısoq	satisfies with
cupı	mucosa
cuq	leaves
cuqdere	tsundere
cuse	spit
cutaq	with
cutua	satisfies with
cuıkıa	colour rose
cuıkıa	of color
cuıq	profane
cyhyduohua	diaphragm
cyhyrıo	oxygen
cysao	large number
cyse	spit
cytao	spits
cıakuq	omits
cıaluq	at peace
cıamoe	feels empty
cıane	zero amount
cıanhe	has zero extent
cıaodua	has cultural
cıaojeo	culturally true
cıaolu	is a cultural
cıcı'a	cringes
cıebeaq	fishing rod
cıebıu	sushi
cıeche	fisherman
cıechome	silverfish
cıechuq	pescatarian
cıeduy	wriggles
cıejuku	fishing
cıejuku	fishes
cıejıaıgue	fishing hook
cıereq	merfolk
cıetuo	Water Moccasin
cıfujuao	Zipf's law
cıjue	June
cıjueko	Juneteenth
cıjıeq	hexagone
cıjıeq	hexagon
cıkata	six
cılaqteı	sixth tone
cım	dislikes
cıobeo	goes through
cıodaq	puberty
cıokoaq	young adult
cıolıq	adolescent girl
cıonaq	adolescent boy
cıoq	button
cıoqnhuo	panel
cıoqtoq	control panel
cıqpeqjı	chimpanzee
cıry	chain
cırı	chain
cıseı	shills
cıtoq	cube
cıudoe	exhausts
cıugıq	absorbs
dada	chest
dakı	forehead
dama	is apt
dame	dame
dana	defeats
daobaq	file
daobeoq	USB stick
daochue	is an array
daochıu	is an address
daocoe	is a label
daodo	informs
daodoa	submits
daodoa	submits the data
daofeoq	hard disk
daofeoqme	hard drive
daofoq	smartphone
daogaı	has perception
daojaolaq	smartphone
daojuao	logic
daojuaodıu	study
daojuq	accesses
daojuqkıu	accessible
daojıoqdıu	computer science
daokaodaı	Caodaist
daokaı	inputs data
daokaıchuo	input device
daokea	computer
daokoko	Taoist
daomıeq	checks
daoraq	links
daosue	wants to know
daosıca	interests
daoteı	file format
daoteıdıu	statistics
daotoaı	word
daotoq	table
daozu	data format
dapa	hand palm
dapapueqhe	plantigrade
dapasheaqhe	plantigrade
daqboe	wall clock
daqbıo	hourglass
daqchuq	chronophage
daqchıu	time address
daqdeaı	worthwhile
daqdekı	timer
daqduaı	due
daqfa	time-travels
daqgoa	spacetime
daqguaı	works full-time
daqguo	time
daqgı	is
daqgıa	time zone
daqhe	usually the case
daqjao	temporally far
daqjeqme	state
daqjuı	temporally close
daqko	is the
daqlıa	timeless
daqme	time period
daqmeoq	happens slowly
daqmıeqchuo	timer
daqmıqbu	temporary
daqmıqgıq	temporary
daqmıqjeo	universally true
daqne	amount of time
daqne	duration
daqnuı	short in time
daqpaq	temporal slice
daqpuı	happens often
daqrea	deadline
daqrıaq	period of time
daqsao	long in time
daqsheı	has free time
daqsheıbo	has free time
daqshıkogıq	is, among
daqsuaı	happens quickly
daruma	snowman
dasho	me
datoa	illocution
dazı	Druze
daımono	demon
daımoı	imagines
daısıu	plausible
deabuaq	misses
deachu	target
deagıaq	banger
deakaı	types text
dealaq	tap
deaqfuq	rug
deaqkıao	trapdoorway
deaqkıaotoq	trapdoor
deaqkıaq	carpet
deaqme	stairs
deaqnhuo	stairs
deaqsha	lands
deaqtıq	floor tile
deaıdoa	gives reward
deaıhıo	recognizes
deaıjuq	gets reward
deaıne	status
debıo	vase
decha	happens
dechey	charms
dechuo	ornament
dedoa	beautifies
deduo	dances
deduy	dances
dehea	pendant
